ID,Title,Author,Theme,Difficulty,ClearRate,Stars,PlayersPlayed,Clears,RoundsPlayed,Flag,Tag,Link
2E16-0000-03EB-2FD6,Шeîşşισgiα,robraf21,sbu,Super Expert,0.11%,6,13,1,881,DE,---,https://supermariomakerbookmark.nintendo.net/courses/2E16-0000-03EB-2FD6
850A-0000-03EA-31E8,Reliability,Jürgen,sbu,Easy,23.08%,6,12,9,39,DE,---,https://supermariomakerbookmark.nintendo.net/courses/850A-0000-03EA-31E8
1AF4-0000-03EA-1DED,I ♥ stars!,Syferia,sbu,Easy,42.19%,6,27,27,64,US,---,https://supermariomakerbookmark.nintendo.net/courses/1AF4-0000-03EA-1DED
04DD-0000-03E9-0018,Automatic (Don&#39;t move),Sarah,sbu,Easy,53.85%,15,29,28,52,DE,---,https://supermariomakerbookmark.nintendo.net/courses/04DD-0000-03E9-0018
146C-0000-03E6-AEB4,35マスTASジャンプ♡,にんぎょう #2,sbu,Super Expert,0.52%,6,13,2,383,JP,---,https://supermariomakerbookmark.nintendo.net/courses/146C-0000-03E6-AEB4
6492-0000-03E6-04A9,♥♡ My Dog Melli ♡♥,3DJerome3D,sbu,Normal,19.70%,18,30,13,66,DE,---,https://supermariomakerbookmark.nintendo.net/courses/6492-0000-03E6-04A9
CBC1-0000-03E3-0A65,easy?hard?,★Luca←™#:D,sbu,Expert,4.35%,6,11,1,23,DE,---,https://supermariomakerbookmark.nintendo.net/courses/CBC1-0000-03E3-0A65
C67E-0000-03E2-D288,The 4 Challenges,○©ir©le○→♪,sbu,Expert,5.88%,6,12,7,119,GB,---,https://supermariomakerbookmark.nintendo.net/courses/C67E-0000-03E2-D288
1C83-0000-03E0-9827,SXW-Special:Haunted Hallways,Λłρħαχεηίσ,sbu,Expert,8.80%,21,41,22,250,AT,Theme,https://supermariomakerbookmark.nintendo.net/courses/1C83-0000-03E0-9827
796B-0000-03D9-00EF,:(,RecycleBin,sbu,Normal,2.59%,9,15,3,116,CA,---,https://supermariomakerbookmark.nintendo.net/courses/796B-0000-03D9-00EF
3340-0000-03D0-0DC6,dash on shrooms II,Burn,sbu,Expert,3.28%,6,10,4,122,DE,---,https://supermariomakerbookmark.nintendo.net/courses/3340-0000-03D0-0DC6
A480-0000-03C9-4E46,we,Dean,sbu,Expert,1.85%,48,82,9,487,DE,---,https://supermariomakerbookmark.nintendo.net/courses/A480-0000-03C9-4E46
55F1-0000-03BF-98D9,10 Seconds Challenger - 2 Coins, ←«Aлğеl»→,sbu,Expert,1.82%,22,45,16,881,CL,---,https://supermariomakerbookmark.nintendo.net/courses/55F1-0000-03BF-98D9
1332-0000-03E4-63A4,pupcake,paradox,sbu,Expert,4.90%,19,35,14,286,AU,---,https://supermariomakerbookmark.nintendo.net/courses/1332-0000-03E4-63A4
0DBC-0000-03A6-0710,THE LOST MANOR. Pour Mythra ;o},ATREHYU,sbu,Easy,14.89%,19,32,7,47,FR,---,https://supermariomakerbookmark.nintendo.net/courses/0DBC-0000-03A6-0710
F535-0000-03E3-1F8E,ドット絵からカギを4つ探そう♪ ～DQ5ビアンカ～ key4,メロディアイ3,sbu,Easy,33.01%,36,64,34,103,JP,Thumbnail,https://supermariomakerbookmark.nintendo.net/courses/F535-0000-03E3-1F8E
F0C4-0000-03DB-1F62,一発ピンコげ～♪ブラパ付き！(30s),spw-02,sbu,Normal,11.34%,36,67,44,388,JP,---,https://supermariomakerbookmark.nintendo.net/courses/F0C4-0000-03DB-1F62
134E-0000-03EA-2681,Chomp House 3-3,James,sbu,Normal,45.71%,10,18,16,35,US,Traditional,https://supermariomakerbookmark.nintendo.net/courses/134E-0000-03EA-2681
7A32-0000-03CD-52E9,寂しすぎるクリスマスツリー,ケロン,sbu,Expert,2.52%,37,74,27,1073,JP,---,https://supermariomakerbookmark.nintendo.net/courses/7A32-0000-03CD-52E9
EA37-0000-03E1-6E90,SPEEDRUN CHALLENGE #2,thottbot,sbu,Expert,2.05%,17,37,21,1026,US,---,https://supermariomakerbookmark.nintendo.net/courses/EA37-0000-03E1-6E90
DAE8-0000-03EB-7546,Marios Explosive Awareness,Grant,sbu,Expert,1.44%,7,15,6,418,US,---,https://supermariomakerbookmark.nintendo.net/courses/DAE8-0000-03EB-7546
7267-0000-03E8-B814,Entrenando escalada con flor #TM,Morillon71,sbu,Normal,7.14%,7,12,2,28,MX,---,https://supermariomakerbookmark.nintendo.net/courses/7267-0000-03E8-B814
A3B3-0000-03E6-8835,10SecTAS My heart is a ghosttown,Km-time,sbu,Super Expert,0.86%,7,13,1,116,NL,---,https://supermariomakerbookmark.nintendo.net/courses/A3B3-0000-03E6-8835
EEFB-0000-03E8-C18C,♡♥KEEP RUN♥♡#SMO Foreverº•˙°•˙♪♥,philippo,sbu,Easy,44.20%,39,73,61,138,DE,---,https://supermariomakerbookmark.nintendo.net/courses/EEFB-0000-03E8-C18C
B41A-0000-03E8-9D92,Larl&#39;s Great Jebait v4.1,Alexander,sbu,Super Expert,1.26%,11,21,7,555,AU,---,https://supermariomakerbookmark.nintendo.net/courses/B41A-0000-03E8-9D92
5D3F-0000-03A1-A4F6,Worry View.,Angler,sbu,Easy,21.21%,33,67,35,165,JP,---,https://supermariomakerbookmark.nintendo.net/courses/5D3F-0000-03A1-A4F6
0BD8-0000-03E8-FD34,Rei&#39;s Propeller,Hoagie,sbu,Super Expert,2.10%,15,27,3,143,US,---,https://supermariomakerbookmark.nintendo.net/courses/0BD8-0000-03E8-FD34
BA6F-0000-03E0-9FB5,Marco&#39;s Boom House ,3DJerome3D,sbu,Normal,21.82%,15,26,12,55,DE,---,https://supermariomakerbookmark.nintendo.net/courses/BA6F-0000-03E0-9FB5
BD71-0000-03E6-3739,コトリバコ,はすのは,sbu,Super Expert,0.30%,19,34,1,331,JP,---,https://supermariomakerbookmark.nintendo.net/courses/BD71-0000-03E6-3739
76E9-0000-03E4-ADAF,ピヨくんが３年前に作ったコース,ピヨたろう,sbu,Expert,8.25%,27,49,16,194,JP,---,https://supermariomakerbookmark.nintendo.net/courses/76E9-0000-03E4-ADAF
70FA-0000-03EC-923D,^_^ THX Friends  ^_^ ^о^ (1),3DJerome3D,sbu,Normal,25.00%,12,25,19,76,DE,Theme,https://supermariomakerbookmark.nintendo.net/courses/70FA-0000-03EC-923D
